#Nodes with GAIN events with expectation above 0.5
Furcep: 1.91212
N56: 1.87389
N62: 1.03069
N63: 1.91807
N74: 1.0035
C3125: 1.28018
N92: 1.30767
C2208: 0.977655
Total number of gain events: 18.8414
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Rhaspe: 1.66046
Rhamar: 1.59869
Rhatem: 0.70133
N33: 1.11129
N37: 1.01659
N42: 0.986327
N45: 0.808768
FGA465: 0.985436
N58: 0.79727
N60: 0.788055
FGA489: 1.01413
N69: 0.610486
N73: 1.00769
Calboe: 2.55974
N78: 1.72933
N79: 1.34376
N80: 1.55458
N85: 1.00057
N88: 1.63253
C404: 1.01996
N96: 1.00551
N106: 0.965577
N127: 1.11741
Total number of loss events: 35.5266
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Total number of duplication events: 6.56989e-31
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
N2: 0.573506
N33: 0.999812
N64: 0.704131
N112: 0.964411
N116: 0.971901
N118: 0.637891
N127: 0.999523
Total number of demi-dulications events: 8.35006
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions in base number with expectation above 0.5
Total number of transitions in base number: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
Furant	0.00634545	0.131585	0	2.24624e-06	0
N56	1.87389	0.000288553	3.50838e-58	7.75277e-06	0
FGA331	9.51508e-06	1.0151e-07	0	1.94727e-09	0
FGA332	9.51508e-06	1.0151e-07	0	1.94727e-09	0
FGA465	0.0138953	0.985436	0	2.9375e-09	0
N57	0.00342255	0.181909	6.82235e-49	2.9001e-10	0
N58	0.00791797	0.79727	2.12278e-61	2.22762e-08	0
FGA99	6.01801e-08	1.71825e-05	0	3.47071e-13	0
F12269	6.01801e-08	1.71825e-05	0	3.47071e-13	0
N59	0.00982038	0.0166853	3.18465e-44	1.8478e-09	0
N60	0.00555403	0.788055	5.34338e-60	4.9684e-09	0
FGA15	6.20084e-09	3.13425e-06	0	1.62381e-14	0
FGA440	6.20084e-09	3.13425e-06	0	1.62381e-14	0
N61	0.223954	0.00646797	2.99647e-60	2.32905e-06	0
FGA581	5.56374e-07	3.7255e-08	0	3.63953e-11	0
FGA582	5.56374e-07	3.7255e-08	0	3.63953e-11	0
N62	1.03069	0.0291106	3.2536e-57	0.000679101	0
FGA104	1.77237e-06	1.16261e-07	0	1.57917e-09	0
FGA105	1.77237e-06	1.16261e-07	0	1.57917e-09	0
FGA489	0.0287533	1.01413	0	4.53029e-09	0
N63	1.91807	0.0995524	7.75236e-47	0.0314981	0
FGA174	8.58433e-05	1.45332e-05	0	3.01237e-07	0
FGA175	8.58433e-05	1.45332e-05	0	3.01237e-07	0
FurbGB	0.119414	0.128502	0	3.40899e-05	0
N64	0.000579341	0.00235332	1.83041e-43	0.704131	0
N65	0.0115251	0.0246138	7.05267e-39	0.231082	0
N66	0.0419971	0.328822	3.80339e-44	0.0621208	0
N67	0.405547	0.105311	5.54381e-50	0.000917649	0
CGA312	2.00706e-05	1.07365e-05	0	2.03376e-08	0
CGA963	2.00706e-05	1.07365e-05	0	2.03376e-08	0
N68	0.00153795	0.20201	2.49463e-46	0.000878153	0
N69	0.00020014	0.610486	1.40754e-51	2.21731e-05	0
N70	0.0078358	0.00464655	5.25402e-52	8.86406e-07	0
N71	0.13797	0.0319671	1.11357e-52	2.06302e-07	0
CGA642	0.0321	0.0296004	0	5.36077e-09	0
N72	0.0112074	0.00565557	7.10962e-52	3.21748e-09	0
N73	0.00462817	1.00769	2.14775e-58	2.2049e-09	0
CGA763	5.31381e-09	2.56243e-06	0	1.07578e-15	0
CGA764	5.31381e-09	2.56243e-06	0	1.07578e-15	0
N74	1.0035	0.00656978	6.12409e-59	3.02822e-09	0
C601	1.65233e-06	1.90385e-08	0	1.98552e-12	0
C602	1.65233e-06	1.90385e-08	0	1.98552e-12	0
N75	0.00191995	0.0163653	1.13982e-46	5.29513e-08	0
CGA236	0.192589	0.0695838	0	4.01421e-07	0
N76	0.00193516	0.162769	1.35888e-41	1.37434e-08	0
N77	0.0487587	0.109478	1.41279e-38	7.75865e-09	0
Calboe	0.00163071	2.55974	0	4.34602e-09	0
C3125	1.28018	0.0512109	0	0.0182076	0
N78	0.0133419	1.72933	2.11322e-55	3.28063e-08	0
CGA429	0	0	0	0	0
CGA430	0	0	0	0	0
N79	2.4531e-05	1.34376	5.13509e-48	7.43084e-07	0
N80	0.0206871	1.55458	4.96157e-58	6.22453e-08	0
C985	0	0	0	0	0
C984	0	0	0	0	0
N81	0.000665549	0.180054	3.60667e-40	3.90668e-08	0
N82	0.0419151	0.39612	8.37865e-46	2.16982e-08	0
CGA310	0.000423695	0.000704965	0	1.57855e-10	0
CGA314	0.000423695	0.000704965	0	1.57855e-10	0
N83	0.00898055	0.37308	2.15114e-41	2.03927e-08	0
N84	0.0649733	0.0553469	1.03111e-61	1.30238e-09	0
CGA382	0.000117029	0.000130034	0	8.33344e-11	0
CGA365	0.000117029	0.000130034	0	8.33344e-11	0
N85	0.0101893	1.00057	1.40717e-62	1.23702e-09	0
CGA494	1.50691e-08	3.98125e-06	0	2.27792e-15	0
CGA495	1.50691e-08	3.98125e-06	0	2.27792e-15	0
N86	0.230431	0.0267666	1.56262e-49	3.84089e-05	0
N87	0.00275759	0.0584655	2.62223e-48	2.86796e-07	0
C12265	0.380073	0.0272987	0	3.66547e-07	0
N88	0.00121193	1.63253	5.21246e-49	2.08609e-07	0
C404	0.00408519	1.01996	0	8.41324e-10	0
N89	0.00272161	0.0132994	1.77829e-57	7.9652e-10	0
N90	0.00731492	0.0126162	1.65852e-62	4.00742e-11	0
Cl11778	9.95589e-08	4.36677e-07	0	3.38256e-15	0
Cl11779	9.95589e-08	4.36677e-07	0	3.38256e-15	0
N91	0.0040903	0.00925927	1.91876e-55	3.99902e-11	0
CGA594	0.000131524	0.000264202	0	2.8972e-13	0
CGA48	0.000131524	0.000264202	0	2.8972e-13	0
N92	1.30767	0.0106573	1.75986e-59	6.97817e-06	0
C3134	5.07565e-06	1.50136e-07	0	3.95145e-10	0
C3126	5.07565e-06	1.50136e-07	0	3.95145e-10	0
N93	0.152568	0.0978711	4.73408e-42	0.0627397	0
CGA311	0.065467	0.107166	0	0.000298992	0
N94	0.00737004	0.00201514	1.21801e-44	0.000249715	0
N95	0.0035985	0.0554803	8.08086e-48	4.73263e-05	0
N96	0.0103306	1.00551	2.21326e-62	6.95133e-07	0
CGA45	2.27959e-08	3.49836e-06	0	0	0
CGA46	2.27959e-08	3.49836e-06	0	0	0
N97	0.00708685	0.00266709	2.1816e-47	6.10658e-07	0
N98	0.0061642	0.00547438	1.1756e-48	8.15706e-08	0
N99	0.00345904	0.00373509	6.51141e-70	1.38976e-09	0
C3043	1.23995e-05	2.88532e-05	0	1.5656e-12	0
CGA87	1.23995e-05	2.88532e-05	0	1.5656e-12	0
N100	0.00321373	0.00348431	1.88677e-65	1.38908e-09	0
CGA368	0.000120864	0.000142787	0	2.2426e-12	0
CGA557	0.000120864	0.000142787	0	2.2426e-12	0
CGA364	0.0263023	0.025905	0	8.2961e-08	0
C2208	0.977655	0.0247172	0	4.80416e-05	0
N101	0.170284	0.16851	2.81731e-39	0.290952	0
N102	0.0112242	0.0194881	1.48026e-44	0.00314037	0
N103	0.018251	0.0124428	7.45163e-62	4.61372e-05	0
CGA453	4.13386e-06	6.06335e-06	0	4.34135e-09	0
CGA383	4.13386e-06	6.06335e-06	0	4.34135e-09	0
N104	0.00137577	0.0301301	8.47125e-51	4.5109e-05	0
N105	0.0381561	0.00359552	4.06592e-61	1.02788e-06	0
CGA501	2.61641e-07	6.98475e-08	0	2.72768e-12	0
C11776	2.61641e-07	6.98475e-08	0	2.72768e-12	0
N106	0.000147562	0.965577	1.43409e-60	1.02781e-06	0
C3121	1.11258e-08	1.00929e-05	0	0	0
C3123	1.11258e-08	1.00929e-05	0	0	0
N107	0.0370064	0.0393168	3.69248e-46	0.00318206	0
Calparcri	0.000434674	0.000583005	0	4.46825e-06	0
C3118	0.000434674	0.000583005	0	4.46825e-06	0
N108	0.000781992	0.000425729	4.05397e-43	3.89367e-09	0
N109	0.0153134	0.0114061	9.47354e-42	0.000324703	0
N110	0.0175159	0.018111	6.56084e-40	1.77693e-05	0
N111	0.00845492	0.0090415	1.29459e-39	7.61921e-07	0
N112	0.0211647	0.0200356	5.80951e-41	0.964411	0
