haploidn,tips,sim
18,C3121,7
18,CGA453,7
18,C3118,7
18,Calparcri,7
19,FGA513,7
19,FGA456,7
18,FGA465,7
19,F12278,7
19,FGA331,7
19,Furant,7
18,FGA581,7
18,FGA15,7
17,FGA99,7
18,F2241,7
18,Furang,7
18,FGA490,7
18,Furpol,7
18,Furcep,7
18,F1476,7
17,FGA104,7
17,FGA489,7
18,F3015,7
17,FGA174,7
18,FurbGB,7
17,FGA379,7
14,Tribit,7
15,Trihoe,7
13,Trijac,7
13,Trijoh,7
13,Trimel,7
14,Triowe,7
15,Tricri,7
16,Triwie,7
16,Triqua,7
17,Kinboe,7
17,Kinfis,7
16,Kinxen,7
16,Bratra,7
16,Bradra,7
15,Bratha,7
16,Bramel,7
16,Braset,7
16,Braven,7
16,Bragut,7
16,Brapum,7
16,Bradam,7
19,Chazey,7
19,Chacaly,7
19,Chaafr,7
19,Chacha,7
19,Chadil,7
19,Chasen,7
20,Chanam,7
12,Rhamar,7
17,Rhatem,7
18,Rhaspe,7
15,BGA584,8
17,BGAA1,8
16,B11604,8
17,B983,8
18,BGA303,8
15,BGAB1,8
17,B11609,8
17,B11696,8
15,B3088,8
17,BGA709,8
16,BGA309,8
16,PGA445,8
19,CGA763,8
19,C601,8
18,CGA642,8
15,CGA429,8
18,C3125,8
19,Calboe,8
18,CGA236,8
19,CGA365,8
20,CGA494,8
18,CGA310,8
18,C984,8
18,CGA48,8
18,Cl11778,8
17,C404,8
17,C12265,8
18,C3126,8
17,CGA312,8
16,C3043,8
17,CGA364,8
16,CGA45,8
17,C2208,8
15,CGA311,8
16,CGA501,8
16,C3121,8
17,CGA453,8
15,C3118,8
15,Calparcri,8
18,FGA513,8
18,FGA456,8
18,FGA465,8
17,F12278,8
18,FGA331,8
17,Furant,8
19,FGA581,8
19,FGA15,8
19,FGA99,8
18,F2241,8
18,Furang,8
16,FGA490,8
16,Furpol,8
16,Furcep,8
17,F1476,8
16,FGA104,8
16,FGA489,8
18,F3015,8
15,FGA174,8
19,FurbGB,8
19,FGA379,8
17,Tribit,8
17,Trihoe,8
17,Trijac,8
17,Trijoh,8
17,Trimel,8
18,Triowe,8
16,Tricri,8
17,Triwie,8
17,Triqua,8
