tips,genus,species,Binomial,chromon,armn,macrop,microp,norpos,norpair,its,pair1,pair2,pair3,pair4,pair5,pair6,pair7,pair8,pair9,pair10,pair11,pair12,pair13,pair14,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,ref,haploidn,Binomial_Marcello,Realm,Latitude,Longitude,maxSVL,Substrate,Repromode,minClutchSize,maxClutchSize,minBreedingAge,maxBreedingAge
CGA594,Calumma,calumma_brevicorne1,Calumma brevicorne,32,50,9,7,macro,1,2,meta,meta,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,"Matthey, 1957; Bourgat, 1972; Rovatsos et al., 2017; this study",16,Calumma brevicorne1,Madagascar,-18.13,48.31,170,Arboreal&Terrestrial,Oviparous,5,30,8,8
C3126,Calumma,calumma_amber,Calumma amber,38,56,9,10,NA,NA,0,meta,meta,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,this study,19,Calumma amber,Madagascar,-12.56,49.15,112,Arboreal,NA,NA,NA,NA,NA
C3134,Calumma,calumma_amber,Calumma amber,38,56,9,10,NA,NA,0,meta,meta,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,this study,19,Calumma amber,Madagascar,-12.56,49.15,112,Arboreal,NA,NA,NA,NA,NA
C3121,Calumma,calumma_ambreense,Calumma ambreense,34,46,6,11,macro,2,NA,meta,submeta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.3,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study,17,Calumma ambreense,Madagascar,-12.61,49.14,174,Arboreal,NA,NA,NA,NA,NA
C3123,Calumma,calumma_ambreense,Calumma ambreense,34,46,6,11,macro,2,NA,meta,submeta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.3,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study,17,Calumma ambreense,Madagascar,-12.61,49.14,174,Arboreal,NA,NA,NA,NA,NA
C984,Calumma,calumma_nasutum,Calumma nasutum,28,42,7,7,macro,1,4,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,this study,14,Calumma nasutum,Madagascar,-17.97,48.18,50,Arboreal&Terrestrial,Oviparous,2,5,NA,NA
C985,Calumma,calumma_nasutum,Calumma nasutum,28,42,7,7,macro,1,4,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,this study,14,Calumma nasutum,Madagascar,-17.97,48.18,50,Arboreal&Terrestrial,Oviparous,2,5,NA,NA
C601,Calumma,calumma_gallus1,Calumma gallus,36,52,8,10,NA,NA,NA,meta,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,this study,18,Calumma gallus1,Madagascar,-18.86,48.66,60,Arboreal&Terrestrial,Oviparous,NA,NA,NA,NA
C602,Calumma,calumma_gallus1,Calumma gallus,36,52,8,10,NA,NA,NA,meta,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,this study,18,Calumma gallus1,Madagascar,-18.86,48.66,60,Arboreal&Terrestrial,Oviparous,NA,NA,NA,NA
C3125,Calumma,calumma_sp2,Calumma sp2,36,48,6,12,NA,NA,0,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study,18,Calumma sp2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
