tips,genus,species,Binomial,chromon,armn,macrop,microp,norpos,norpair,its,pair1,pair2,pair3,pair4,pair5,pair6,pair7,pair8,pair9,pair10,pair11,pair12,pair13,pair14,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,ref,haploidn,Binomial_Marcello,Realm,Latitude,Longitude,maxSVL,Substrate,Repromode,minClutchSize,maxClutchSize,minBreedingAge,maxBreedingAge
Leiolep,Leiolepis,leiolepis_belliana,Leiolepis belliana,36,NA,6,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hall, 1970",18,Leiolepis belliana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PGA445,Palleon,palleon_nasus,Palleon nasus,36,48,6,12,micro,NA,NA,meta,submeta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.3,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Bourgat, 1971; this study",18,Palleon nasus,Madagascar,-23.01,47.07,49,Arboreal&Terrestrial,Oviparous,NA,NA,NA,NA
PGA363,Palleon,palleon_nasus,Palleon nasus,36,48,6,12,micro,NA,NA,meta,submeta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.3,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Bourgat, 1971; this study",18,Palleon nasus,Madagascar,-23.01,47.07,49,Arboreal&Terrestrial,Oviparous,NA,NA,NA,NA
B983,Brookesia,brookesia_therezieni,Brookesia therezieni,36,48,6,12,micro,NA,0,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study,18,Brookesia therezieni,Madagascar,-16.74,49.05,53,Terrestrial,Oviparous,NA,NA,NA,NA
B985,Brookesia,brookesia_therezieni,Brookesia therezieni,36,48,6,12,micro,NA,0,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study,18,Brookesia therezieni,Madagascar,-16.74,49.05,53,Terrestrial,Oviparous,NA,NA,NA,NA
BGA584,Brookesia,brookesia_thieli1,Brookesia thieli,36,48,6,12,micro,NA,0,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study,18,Brookesia thieli1,Madagascar,-17.72,48.52,45,Arboreal&Terrestrial,Oviparous,2,4,5,5
BGA706,Brookesia,brookesia_thieli1,Brookesia thieli,36,48,6,12,micro,NA,0,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study,18,Brookesia thieli1,Madagascar,-17.72,48.52,45,Arboreal&Terrestrial,Oviparous,2,4,5,5
BGA303,Brookesia,brookesia_ambreensis,Brookesia ambreensis,36,48,6,12,micro,NA,0,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study,18,Brookesia ambreensis,Madagascar,-12.51,49.17,55,Terrestrial,Oviparous,2,2,NA,NA
BGA304,Brookesia,brookesia_ambreensis,Brookesia ambreensis,36,48,6,12,micro,NA,0,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study,18,Brookesia ambreensis,Madagascar,-12.51,49.17,55,Terrestrial,Oviparous,2,2,NA,NA
B11609,Brookesia,brookesia_decaryi,Brookesia decaryi,36,48,6,12,micro,NA,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study,18,Brookesia decaryi,Madagascar,-16.31,46.94,53,Terrestrial,Oviparous,2,5,NA,NA
BGA392,Brookesia,brookesia_decaryi,Brookesia decaryi,36,48,6,12,micro,NA,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study,18,Brookesia decaryi,Madagascar,-16.31,46.94,53,Terrestrial,Oviparous,2,5,NA,NA
BGAA1,Brookesia,brookesia_boetchy,Brookesia boetchy,36,48,6,12,micro,NA,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study,18,Brookesia boetchy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGAA2,Brookesia,brookesia_boetchy,Brookesia boetchy,36,48,6,12,micro,NA,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study,18,Brookesia boetchy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGA89,Brookesia,brookesia_thieli2,Brookesia thieli,36,48,6,12,micro,NA,0,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study,18,Brookesia thieli2,Madagascar,-17.72,48.52,45,Arboreal&Terrestrial,Oviparous,2,4,5,5
BGA40,Brookesia,brookesia_thieli2,Brookesia thieli,36,48,6,12,micro,NA,0,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study,18,Brookesia thieli2,Madagascar,-17.72,48.52,45,Arboreal&Terrestrial,Oviparous,2,4,5,5
B11696,Brookesia,brookesia_brygooi,Brookesia brygooi,36,48,6,12,micro,NA,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study,18,Brookesia brygooi,Madagascar,-19.31,44.96,52,Terrestrial,Oviparous,2,5,12,12
B11697,Brookesia,brookesia_brygooi,Brookesia brygooi,36,48,6,12,micro,NA,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study,18,Brookesia brygooi,Madagascar,-19.31,44.96,52,Terrestrial,Oviparous,2,5,12,12
B11604,Brookesia,brookesia_superciliaris,Brookesia superciliaris,36,48,6,12,micro,NA,0,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study,18,Brookesia superciliaris,Madagascar,-18.87,48.51,54,Arboreal&Terrestrial,Oviparous,2,5,4,5
BGA583,Brookesia,brookesia_superciliaris,Brookesia superciliaris,36,48,6,12,micro,NA,0,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study,18,Brookesia superciliaris,Madagascar,-18.87,48.51,54,Arboreal&Terrestrial,Oviparous,2,5,4,5
BGAB1,Brookesia,brookesia_stumpffi,Brookesia stumpffi,36,48,6,12,micro,NA,0,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Rovatsos et al., 2017; this study",18,Brookesia stumpffi,Madagascar,-14.57,48.02,57,Terrestrial,Oviparous,2,5,5,5
BGA7,Brookesia,brookesia_stumpffi,Brookesia stumpffi,36,48,6,12,micro,NA,0,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Rovatsos et al., 2017; this study",18,Brookesia stumpffi,Madagascar,-14.57,48.02,57,Terrestrial,Oviparous,2,5,5,5
BGA709,Brookesia,brookesia_ramanantsoai,Brookesia ramanantsoai,36,48,6,12,micro,NA,0,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study,18,Brookesia ramanantsoai,Madagascar,-18.76,48.03,25.5,Terrestrial,NA,NA,NA,NA,NA
BGA710,Brookesia,brookesia_ramanantsoai,Brookesia ramanantsoai,36,48,6,12,micro,NA,0,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study,18,Brookesia ramanantsoai,Madagascar,-18.76,48.03,25.5,Terrestrial,NA,NA,NA,NA,NA
B3088,Brookesia,brookesia_tubercolata,Brookesia tuberculata,36,48,6,12,micro,NA,0,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study,18,Brookesia tubercolata,Madagascar,-12.54,49.17,21.7,Terrestrial,NA,NA,NA,NA,NA
B199,Brookesia,brookesia_superciliaris2,Brookesia superciliaris,36,48,6,12,micro,NA,0,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study,18,Brookesia superciliaris2,Madagascar,-18.87,48.51,54,Arboreal&Terrestrial,Oviparous,2,5,4,5
BGAA3,Brookesia,brookesia_superciliaris2,Brookesia superciliaris,36,48,6,12,micro,NA,0,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study,18,Brookesia superciliaris2,Madagascar,-18.87,48.51,54,Arboreal&Terrestrial,Oviparous,2,5,4,5
BGA309,Brookesia,brookesia_dentata,Brookesia dentata,36,48,6,12,micro,NA,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study,18,Brookesia dentata,Madagascar,-16.34,46.9,23,Terrestrial,Oviparous,NA,NA,NA,NA
FGA379,Furcifer,furcifer_balteatus,Furcifer balteatus,34,46,6,11,NA,NA,6,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study,17,Furcifer balteatus,Madagascar,-22.83,47.23,175,Arboreal,Oviparous,NA,NA,NA,NA
F647,Furcifer,furcifer_balteatus,Furcifer balteatus,34,46,6,11,NA,NA,6,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study,17,Furcifer balteatus,Madagascar,-22.83,47.23,175,Arboreal,Oviparous,NA,NA,NA,NA
FGA99,Furcifer,furcifer_oustaleti,Furcifer oustaleti,22,40,9,2,macro,4,10,meta,meta,meta,meta,submeta,meta,meta,meta,meta,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,"Matthey, 1957; Bourgat, 1972; Rovatsos et al., 2017; this study",11,Furcifer oustaleti,Madagascar,-19.38,46.7,299,Arboreal,Oviparous,30,66,12,12
F12269,Furcifer,furcifer_oustaleti,Furcifer oustaleti,22,40,9,2,macro,4,10,meta,meta,meta,meta,submeta,meta,meta,meta,meta,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,"Matthey, 1957; Bourgat, 1972; Rovatsos et al., 2017; this study",11,Furcifer oustaleti,Madagascar,-19.38,46.7,299,Arboreal,Oviparous,30,66,12,12
FGA15,Furcifer,furcifer_verrucosus2,Furcifer verrucosus,22,40,9,2,macro,4,14,meta,meta,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,this study,11,Furcifer verrucosus2,Madagascar,-21.39,45.13,265,Arboreal,Oviparous,11,58,6,12
FGA440,Furcifer,furcifer_verrucosus2,Furcifer verrucosus,22,40,9,2,macro,4,14,meta,meta,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,this study,11,Furcifer verrucosus2,Madagascar,-21.39,45.13,265,Arboreal,Oviparous,11,58,6,12
F2241,Furcifer,furcifer_pardalis,Furcifer pardalis,22,40,9,2,macro,4,6,meta,submeta,subtelo,subtelo,meta,meta,meta,meta,submeta,NA,NA,NA,NA,NA,0.4,0.3,0.2,0.2,0.4,0.4,0.4,0.4,0.3,NA,NA,NA,NA,NA,"Matthey, 1957; Bourgat, 1972; Rovatsos et al., 2017; this study",11,Furcifer pardalis,Madagascar,-15.38,49.4,250,Arboreal,Oviparous,10,50,6,8
F12266,Furcifer,furcifer_pardalis,Furcifer pardalis,22,40,9,2,macro,4,6,meta,submeta,subtelo,subtelo,meta,meta,meta,meta,submeta,NA,NA,NA,NA,NA,0.4,0.3,0.2,0.2,0.4,0.4,0.4,0.4,0.3,NA,NA,NA,NA,NA,"Matthey, 1957; Bourgat, 1972; Rovatsos et al., 2017; this study",11,Furcifer pardalis,Madagascar,-15.38,49.4,250,Arboreal,Oviparous,10,50,6,8
F1476,Furcifer,furcifer_nicosiai,Furcifer nicosiai,22,40,9,2,macro,2,12,submeta,submeta,meta,meta,submeta,meta,meta,meta,meta,NA,NA,NA,NA,NA,0.3,0.3,0.4,0.4,0.3,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,this study,11,Furcifer nicosiai,Madagascar,-18.7,44.77,145,Arboreal,NA,NA,NA,NA,NA
FGA81,Furcifer,furcifer_nicosiai,Furcifer nicosiai,22,40,9,2,macro,2,12,submeta,submeta,meta,meta,submeta,meta,meta,meta,meta,NA,NA,NA,NA,NA,0.3,0.3,0.4,0.4,0.3,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,this study,11,Furcifer nicosiai,Madagascar,-18.7,44.77,145,Arboreal,NA,NA,NA,NA,NA
F12278,Furcifer,furcifer_lateralis,Furcifer lateralis,24,44,10,2,macro,3,12,meta,meta,submeta,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,"Matthey, 1957; Bourgat, 1972; Rovatsos et al., 2019; this study",12,Furcifer lateralis,Madagascar,-20.44,46.5,139,Arboreal&Saxicolous&Terrestrial,Oviparous,4,23,2,6
F12279,Furcifer,furcifer_lateralis,Furcifer lateralis,24,44,10,2,macro,3,12,meta,meta,submeta,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,"Matthey, 1957; Bourgat, 1972; Rovatsos et al., 2019; this study",12,Furcifer lateralis,Madagascar,-20.44,46.5,139,Arboreal&Saxicolous&Terrestrial,Oviparous,4,23,2,6
FGA513,Furcifer,furcifer_viridis,Furcifer viridis,24,44,10,2,macro,3,NA,meta,submeta,meta,submeta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,0.4,0.3,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,this study,12,Furcifer viridis,Madagascar,-17.47,46.44,120,NA,NA,NA,NA,NA,NA
FGA516,Furcifer,furcifer_viridis,Furcifer viridis,24,44,10,2,macro,3,NA,meta,submeta,meta,submeta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,0.4,0.3,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,this study,12,Furcifer viridis,Madagascar,-17.47,46.44,120,NA,NA,NA,NA,NA,NA
F3015,Furcifer,furcifer_petteri,Furcifer petteri,22,38,8,3,macro,3,6,meta,meta,meta,meta,submeta,meta,meta,meta,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,this study,11,Furcifer petteri,Madagascar,-12.87,49.3,90,Arboreal,Oviparous,11,16,12,12
F3016,Furcifer,furcifer_petteri,Furcifer petteri,22,38,8,3,macro,3,6,meta,meta,meta,meta,submeta,meta,meta,meta,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,this study,11,Furcifer petteri,Madagascar,-12.87,49.3,90,Arboreal,Oviparous,11,16,12,12
FGA331,Furcifer,furcifer_labordi,Furcifer labordi,28,54,13,1,NA,NA,6,meta,meta,submeta,submeta,meta,meta,submeta,meta,meta,submeta,meta,meta,meta,NA,0.4,0.4,0.3,0.3,0.4,0.4,0.3,0.4,0.4,0.3,0.4,0.4,0.4,NA,this study,14,Furcifer labordi,Madagascar,-21.25,44.04,147,Arboreal,Oviparous,8,12,2,3
FGA332,Furcifer,furcifer_labordi,Furcifer labordi,28,54,13,1,NA,NA,6,meta,meta,submeta,submeta,meta,meta,submeta,meta,meta,submeta,meta,meta,meta,NA,0.4,0.4,0.3,0.3,0.4,0.4,0.3,0.4,0.4,0.3,0.4,0.4,0.4,NA,this study,14,Furcifer labordi,Madagascar,-21.25,44.04,147,Arboreal,Oviparous,8,12,2,3
FGA581,Furcifer,furcifer_verrucosus1,Furcifer verrucosus,24,46,11,1,NA,NA,NA,meta,meta,meta,subtelo,meta,meta,subtelo,subtelo,meta,meta,submeta,NA,NA,NA,0.4,0.4,0.4,0.2,0.4,0.4,0.2,0.2,0.4,0.4,0.3,NA,NA,NA,this study,12,Furcifer verrucosus1,Madagascar,-21.39,45.13,265,Arboreal,Oviparous,11,58,6,12
FGA582,Furcifer,furcifer_verrucosus1,Furcifer verrucosus,24,46,11,1,NA,NA,NA,meta,meta,meta,subtelo,meta,meta,subtelo,subtelo,meta,meta,submeta,NA,NA,NA,0.4,0.4,0.4,0.2,0.4,0.4,0.2,0.2,0.4,0.4,0.3,NA,NA,NA,this study,12,Furcifer verrucosus1,Madagascar,-21.39,45.13,265,Arboreal,Oviparous,11,58,6,12
Furant,Furcifer,furcifer_antimena,Furcifer antimena,24,42,10,2,macro,3,12,meta,meta,meta,meta,meta,meta,meta,subtelo,meta,telo,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.4,0.1,NA,NA,NA,NA,"Rovatsos et al., 2019",12,Furcifer antimena,Madagascar,-22.59,43.59,170,Terrestrial,Oviparous,8,23,6,6
FGA465,Furcifer,furcifer_belalandaensis,Furcifer belalandaensis,22,40,9,2,macro,NA,14,meta,meta,meta,meta,meta,meta,meta,meta,subtelo,telo,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.1,NA,NA,NA,NA,this study,11,Furcifer belalandaensis,Madagascar,-23.28,43.65,120,Arboreal,Oviparous,NA,NA,NA,NA
FGA104,Furcifer,furcifer_campani,Furcifer campani,26,40,7,6,macro,1,10,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,"Matthey, 1957; this study",13,Furcifer campani,Madagascar,-20.45,47.22,70,Terrestrial,Oviparous,4,26,3,3
