haploidn,tips,sim
11,Furant,8
11,FGA331,8
11,FGA332,8
10,FGA465,8
11,FGA99,8
11,F12269,8
11,FGA15,8
11,FGA440,8
10,FGA581,8
10,FGA582,8
11,FGA104,8
11,FGA105,8
10,FGA489,8
12,FGA174,8
12,FGA175,8
18,FurbGB,8
12,CGA312,8
12,CGA963,8
12,CGA642,8
12,CGA763,8
12,CGA764,8
12,C601,8
12,C602,8
12,CGA236,8
11,Calboe,8
11,C3125,8
12,CGA429,8
12,CGA430,8
11,C985,8
11,C984,8
12,CGA310,8
12,CGA314,8
18,CGA382,8
18,CGA365,8
12,CGA494,8
12,CGA495,8
11,C12265,8
12,C404,8
12,Cl11778,8
12,Cl11779,8
12,CGA594,8
12,CGA48,8
13,C3134,8
13,C3126,8
12,CGA311,8
12,CGA45,8
12,CGA46,8
12,C3043,8
12,CGA87,8
12,CGA368,8
12,CGA557,8
10,CGA364,8
12,C2208,8
15,CGA453,8
15,CGA383,8
16,CGA501,8
16,C11776,8
15,C3121,8
15,C3123,8
9,Calparcri,8
9,C3118,8
12,Triowe,8
11,Trijoh,8
13,Trimel,8
12,Trihoe,8
12,Tribit,8
12,Trijac,8
12,Tricri,8
13,Triwie,8
13,Triqua,8
11,Kinboe,8
11,Kinfis,8
12,Kinxen,8
12,Chaafr,8
12,Chacha,8
11,Chacaly,8
11,Chazey,8
17,Chadil,8
12,Chasen,8
18,Chanam,8
18,Riebrev,8
13,Braset,8
13,Bramel,8
13,Bratha,8
13,Bradra,8
13,Bratra,8
13,Bragut,8
13,Braven,8
18,Brapum,8
13,Bradam,8
8,Leiolep,9
17,B3088,9
18,BGA709,9
18,BGA710,9
14,BGA309,9
19,B11696,9
19,B11697,9
19,B11609,9
19,BGA392,9
17,B985,9
17,B983,9
18,B199,9
18,BGAA3,9
18,B11604,9
18,BGA583,9
17,BGA89,9
17,BGA40,9
18,BGAA2,9
18,BGAA1,9
26,BGA584,9
26,BGA706,9
19,BGA304,9
19,BGA303,9
18,BGAB1,9
18,BGA7,9
24,PGA445,9
24,PGA363,9
10,Rhaspe,9
12,Rhamar,9
10,Rhatem,9
12,FGA379,9
12,F647,9
10,F3016,9
10,F3015,9
15,F1476,9
15,FGA81,9
15,Furcep,9
15,Furpol,9
15,F2241,9
15,F12266,9
15,Furang,9
15,Fga490,9
20,FGA456,9
20,FGA516,9
20,FGA513,9
14,F12278,9
14,F12279,9
14,Furant,9
14,FGA331,9
14,FGA332,9
15,FGA465,9
13,FGA99,9
13,F12269,9
16,FGA15,9
15,FGA440,9
15,FGA581,9
15,FGA582,9
15,FGA104,9
15,FGA105,9
9,FGA489,9
15,FGA174,9
15,FGA175,9
11,FurbGB,9
11,CGA312,9
11,CGA963,9
10,CGA642,9
11,CGA763,9
11,CGA764,9
11,C601,9
11,C602,9
12,CGA236,9
12,Calboe,9
11,C3125,9
11,CGA429,9
11,CGA430,9
11,C985,9
11,C984,9
11,CGA310,9
11,CGA314,9
10,CGA382,9
10,CGA365,9
11,CGA494,9
11,CGA495,9
11,C12265,9
11,C404,9
11,Cl11778,9
11,Cl11779,9
11,CGA594,9
11,CGA48,9
17,C3134,9
17,C3126,9
11,CGA311,9
11,CGA45,9
11,CGA46,9
16,C3043,9
16,CGA87,9
11,CGA368,9
11,CGA557,9
11,CGA364,9
11,C2208,9
9,CGA453,9
9,CGA383,9
8,CGA501,9
8,C11776,9
8,C3121,9
8,C3123,9
10,Calparcri,9
10,C3118,9
11,Triowe,9
10,Trijoh,9
12,Trimel,9
10,Trihoe,9
10,Tribit,9
22,Trijac,9
10,Tricri,9
17,Triwie,9
11,Triqua,9
16,Kinboe,9
16,Kinfis,9
11,Kinxen,9
27,Chaafr,9
18,Chacha,9
18,Chacaly,9
18,Chazey,9
18,Chadil,9
15,Chasen,9
12,Chanam,9
11,Riebrev,9
10,Braset,9
11,Bramel,9
11,Bratha,9
11,Bradra,9
17,Bratra,9
11,Bragut,9
11,Braven,9
11,Brapum,9
10,Bradam,9
15,Leiolep,10
19,B3088,10
19,BGA709,10
19,BGA710,10
21,BGA309,10
19,B11696,10
19,B11697,10
19,B11609,10
19,BGA392,10
21,B985,10
21,B983,10
22,B199,10
22,BGAA3,10
23,B11604,10
23,BGA583,10
18,BGA89,10
18,BGA40,10
