haploidn,tips,sim
20,Kinfis,9
22,Kinboe,9
19,Triqua,9
20,Triwie,9
19,Tricri,9
18,Trijac,9
19,Tribit,9
20,Trihoe,9
19,Trimel,9
19,Trijoh,9
19,Triowe,9
18,Calparcri,9
18,C3121,9
19,CGA501,9
20,CGA453,9
20,C2208,9
20,CGA364,9
21,CGA368,9
20,C3043,9
21,CGA45,9
19,CGA311,9
18,C3134,9
17,CGA594,9
17,Cl11778,9
17,C404,9
16,C12265,9
18,CGA494,9
18,CGA382,9
18,CGA310,9
19,C985,9
19,CGA429,9
18,C3125,9
18,Calboe,9
18,CGA236,9
18,C601,9
18,CGA763,9
18,CGA642,9
18,CGA312,9
15,FurbGB,9
20,FGA174,9
21,FGA489,9
18,FGA104,9
19,FGA581,9
19,FGA15,9
19,FGA99,9
18,FGA465,9
19,FGA331,9
19,Furant,9
19,F12278,9
19,FGA516,9
19,FGA456,9
20,FGA490,9
19,Furang,9
19,F2241,9
19,Furpol,9
19,Furcep,9
18,F1476,9
20,F3016,9
19,FGA379,9
16,Rhatem,9
18,Rhamar,9
19,Rhaspe,9
12,PGA445,10
18,BGAB1,10
19,BGA304,10
17,BGA584,10
16,BGAA2,10
16,BGA89,10
19,B11604,10
18,B199,10
18,B985,10
16,B11609,10
17,B11696,10
17,BGA309,10
16,BGA709,10
15,B3088,10
14,Bradam,10
14,Brapum,10
14,Braven,10
14,Bragut,10
14,Bratra,10
14,Bradra,10
13,Bratha,10
13,Bramel,10
14,Braset,10
15,Chanam,10
17,Chasen,10
17,Chadil,10
17,Chazey,10
17,Chacaly,10
17,Chacha,10
15,Chaafr,10
16,Kinxen,10
17,Kinfis,10
17,Kinboe,10
15,Triqua,10
16,Triwie,10
16,Tricri,10
17,Trijac,10
17,Tribit,10
17,Trihoe,10
15,Trimel,10
17,Trijoh,10
17,Triowe,10
19,Calparcri,10
18,C3121,10
18,CGA501,10
18,CGA453,10
18,C2208,10
17,CGA364,10
17,CGA368,10
17,C3043,10
17,CGA45,10
17,CGA311,10
17,C3134,10
16,CGA594,10
17,Cl11778,10
17,C404,10
17,C12265,10
17,CGA494,10
17,CGA382,10
16,CGA310,10
18,C985,10
15,CGA429,10
16,C3125,10
15,Calboe,10
17,CGA236,10
17,C601,10
17,CGA763,10
17,CGA642,10
17,CGA312,10
15,FurbGB,10
15,FGA174,10
16,FGA489,10
17,FGA104,10
15,FGA581,10
15,FGA15,10
15,FGA99,10
16,FGA465,10
15,FGA331,10
15,Furant,10
15,F12278,10
13,FGA516,10
15,FGA456,10
14,FGA490,10
15,Furang,10
15,F2241,10
15,Furpol,10
15,Furcep,10
