haploidn,tips,sim
16,FGA582,6
16,FGA581,6
16,FGA440,6
16,FGA15,6
16,F12269,6
16,FGA99,6
16,F12266,6
16,F2241,6
16,Furang,6
16,FGA490,6
15,Furpol,6
16,Furcep,6
15,F1476,6
15,FGA81,6
16,FGA105,6
16,FGA104,6
17,FGA489,6
16,F3016,6
16,F3015,6
15,FGA175,6
15,FGA174,6
16,FurbGB,6
17,F647,6
17,FGA379,6
18,Tribit,6
19,Trihoe,6
17,Trijac,6
18,Trijoh,6
19,Trimel,6
18,Triowe,6
19,Tricri,6
18,Triwie,6
18,Triqua,6
17,Kinboe,6
18,Kinfis,6
18,Kinxen,6
16,Bratra,6
16,Bradra,6
15,Bratha,6
15,Bramel,6
15,Braset,6
17,Braven,6
17,Bragut,6
16,Brapum,6
16,Bradam,6
17,Chazey,6
18,Chacaly,6
17,Chaafr,6
18,Chacha,6
16,Chadil,6
18,Chasen,6
17,Chanam,6
14,Rhamar,6
17,Rhatem,6
15,Rhaspe,6
14,BGA706,7
14,BGA584,7
15,BGAA2,7
15,BGAA1,7
15,BGA40,7
15,BGA89,7
14,B11604,7
14,BGA583,7
14,BGAA3,7
14,B199,7
14,B983,7
14,B985,7
16,BGA304,7
16,BGA303,7
15,BGAB1,7
15,BGA7,7
17,B11609,7
17,BGA392,7
17,B11697,7
17,B11696,7
19,B3088,7
17,BGA710,7
17,BGA709,7
18,BGA309,7
14,PGA445,7
14,PGA363,7
20,CGA764,7
20,CGA763,7
20,C602,7
20,C601,7
20,CGA642,7
20,CGA430,7
20,CGA429,7
20,C3125,7
20,Calboe,7
19,CGA236,7
23,CGA382,7
23,CGA365,7
22,CGA495,7
22,CGA494,7
21,CGA314,7
21,CGA310,7
18,C985,7
18,C984,7
20,CGA594,7
20,CGA48,7
20,Cl11779,7
20,Cl11778,7
20,C404,7
21,C12265,7
18,C3126,7
18,C3134,7
20,CGA963,7
20,CGA312,7
17,CGA87,7
17,C3043,7
17,CGA557,7
17,CGA368,7
17,CGA364,7
15,CGA46,7
15,CGA45,7
16,C2208,7
17,CGA311,7
19,C11776,7
19,CGA501,7
19,C3123,7
19,C3121,7
19,CGA453,7
19,CGA383,7
19,C3118,7
19,Calparcri,7
20,FGA516,7
20,FGA513,7
20,FGA456,7
19,FGA465,7
19,F12279,7
19,F12278,7
19,FGA332,7
19,FGA331,7
18,Furant,7
20,FGA582,7
20,FGA581,7
20,FGA440,7
20,FGA15,7
20,F12269,7
20,FGA99,7
20,F12266,7
20,F2241,7
20,Furang,7
20,FGA490,7
19,Furpol,7
19,Furcep,7
20,F1476,7
20,FGA81,7
20,FGA105,7
20,FGA104,7
21,FGA489,7
20,F3016,7
20,F3015,7
19,FGA175,7
19,FGA174,7
18,FurbGB,7
16,F647,7
16,FGA379,7
20,Tribit,7
20,Trihoe,7
20,Trijac,7
20,Trijoh,7
20,Trimel,7
20,Triowe,7
19,Tricri,7
19,Triwie,7
19,Triqua,7
19,Kinboe,7
18,Kinfis,7
20,Kinxen,7
16,Bratra,7
16,Bradra,7
16,Bratha,7
16,Bramel,7
16,Braset,7
17,Braven,7
16,Bragut,7
14,Brapum,7
14,Bradam,7
20,Chazey,7
20,Chacaly,7
20,Chaafr,7
18,Chacha,7
19,Chadil,7
19,Chasen,7
15,Chanam,7
22,Rhamar,7
