name,MODEL,AICw,Log-likelihood,AIC,C_lossC,C_gainC,CR_lossC,CR_gainC,CR_dup,CD_lossC,CD_gainC,CD_dup,CDE_lossC,CDE_gainC,CDE_dup,CDE_demi,L_lossC,L_gainC,L_lossL,L_gainL,LR_lossC,LR_gainC,LR_lossL,LR_gainL,LR_dup,LD_lossC,LD_gainC,LD_lossL,LD_gainL,LD_dup,LDE_lossC,LDE_gainC,LDE_lossL,LDE_gainL,LDE_dup,LDE_demi
01B_iguania-root-exclude_out,CONST_RATE_DEMI_EST,0.428,-160.2,328.3,0.07334132889999999,0.0418384582,0.0697032021,0.040515503,0,0.07416817590000001,0.0410116112,0,0.0339834117,0.019430904500000002,0,0.0055398749,0.07400280649999999,0,-6.614776e-4,0.0029766491999999997,0.07400280649999999,0,-6.614776e-4,0.0029766491999999997,0,0.07400280649999999,0,-6.614776e-4,0.0029766491999999997,0,0.0397713407,0.0038034962,-3.307388e-4,0.0010749011,0,0.0058706137
01B_iguania-root-exclude_out,CONST_RATE_NO_DUPL,0.273,-162.6,329.2,0.07334132889999999,0.0418384582,0.0697032021,0.040515503,0,0.07416817590000001,0.0410116112,0,0.0339834117,0.019430904500000002,0,0.0055398749,0.07400280649999999,0,-6.614776e-4,0.0029766491999999997,0.07400280649999999,0,-6.614776e-4,0.0029766491999999997,0,0.07400280649999999,0,-6.614776e-4,0.0029766491999999997,0,0.0397713407,0.0038034962,-3.307388e-4,0.0010749011,0,0.0058706137
01B_iguania-root-exclude_out,LINEAR_RATE,0.014,-162.5,335.1,0.07334132889999999,0.0418384582,0.0697032021,0.040515503,0,0.07416817590000001,0.0410116112,0,0.0339834117,0.019430904500000002,0,0.0055398749,0.07400280649999999,0,-6.614776e-4,0.0029766491999999997,0.07400280649999999,0,-6.614776e-4,0.0029766491999999997,0,0.07400280649999999,0,-6.614776e-4,0.0029766491999999997,0,0.0397713407,0.0038034962,-3.307388e-4,0.0010749011,0,0.0058706137
01B_iguania-root-exclude_out,LINEAR_RATE_DEMI,0.014,-162.5,335.1,0.07334132889999999,0.0418384582,0.0697032021,0.040515503,0,0.07416817590000001,0.0410116112,0,0.0339834117,0.019430904500000002,0,0.0055398749,0.07400280649999999,0,-6.614776e-4,0.0029766491999999997,0.07400280649999999,0,-6.614776e-4,0.0029766491999999997,0,0.07400280649999999,0,-6.614776e-4,0.0029766491999999997,0,0.0397713407,0.0038034962,-3.307388e-4,0.0010749011,0,0.0058706137
01B_iguania-root-exclude_out,LINEAR_RATE_DEMI_EST,0.035,-160.7,333.3,0.07334132889999999,0.0418384582,0.0697032021,0.040515503,0,0.07416817590000001,0.0410116112,0,0.0339834117,0.019430904500000002,0,0.0055398749,0.07400280649999999,0,-6.614776e-4,0.0029766491999999997,0.07400280649999999,0,-6.614776e-4,0.0029766491999999997,0,0.07400280649999999,0,-6.614776e-4,0.0029766491999999997,0,0.0397713407,0.0038034962,-3.307388e-4,0.0010749011,0,0.0058706137
01B_iguania-root-exclude_out,LINEAR_RATE_NO_DUPL,0.039,-162.5,333.1,0.07334132889999999,0.0418384582,0.0697032021,0.040515503,0,0.07416817590000001,0.0410116112,0,0.0339834117,0.019430904500000002,0,0.0055398749,0.07400280649999999,0,-6.614776e-4,0.0029766491999999997,0.07400280649999999,0,-6.614776e-4,0.0029766491999999997,0,0.07400280649999999,0,-6.614776e-4,0.0029766491999999997,0,0.0397713407,0.0038034962,-3.307388e-4,0.0010749011,0,0.0058706137
02A_18-root-noO_out,CONST_RATE,0.506,-169.1,344.3,0.08989434079999999,0.08003438839999999,0.0815444712,0.039617466399999995,7.994555999999999e-4,0.07328343,0.03553136,4.44142e-4,0.039084496,0.0205193604,0,0.007283928799999999,0.1347526828,0,-0.0029313372,0.00444142,0.0743493708,0.0119030056,-1.776568e-4,0.0015989111999999998,7.994555999999999e-4,0.0660883296,0.012968946399999999,3.553136e-4,0.0015989111999999998,4.44142e-4,8.88284e-4,0.007639242399999999,0.0027536804,9.771124e-4,0,0.007905727599999999
02A_18-root-noO_out,CONST_RATE_DEMI,0.278,-169.7,345.5,0.08989434079999999,0.08003438839999999,0.0815444712,0.039617466399999995,7.994555999999999e-4,0.07328343,0.03553136,4.44142e-4,0.039084496,0.0205193604,0,0.007283928799999999,0.1347526828,0,-0.0029313372,0.00444142,0.0743493708,0.0119030056,-1.776568e-4,0.0015989111999999998,7.994555999999999e-4,0.0660883296,0.012968946399999999,3.553136e-4,0.0015989111999999998,4.44142e-4,8.88284e-4,0.007639242399999999,0.0027536804,9.771124e-4,0,0.007905727599999999
02A_18-root-noO_out,CONST_RATE_DEMI_EST,0.119,-169.6,347.2,0.08989434079999999,0.08003438839999999,0.0815444712,0.039617466399999995,7.994555999999999e-4,0.07328343,0.03553136,4.44142e-4,0.039084496,0.0205193604,0,0.007283928799999999,0.1347526828,0,-0.0029313372,0.00444142,0.0743493708,0.0119030056,-1.776568e-4,0.0015989111999999998,7.994555999999999e-4,0.0660883296,0.012968946399999999,3.553136e-4,0.0015989111999999998,4.44142e-4,8.88284e-4,0.007639242399999999,0.0027536804,9.771124e-4,0,0.007905727599999999
02A_18-root-noO_out,CONST_RATE_NO_DUPL,0,-184.5,373,0.08989434079999999,0.08003438839999999,0.0815444712,0.039617466399999995,7.994555999999999e-4,0.07328343,0.03553136,4.44142e-4,0.039084496,0.0205193604,0,0.007283928799999999,0.1347526828,0,-0.0029313372,0.00444142,0.0743493708,0.0119030056,-1.776568e-4,0.0015989111999999998,7.994555999999999e-4,0.0660883296,0.012968946399999999,3.553136e-4,0.0015989111999999998,4.44142e-4,8.88284e-4,0.007639242399999999,0.0027536804,9.771124e-4,0,0.007905727599999999
02A_18-root-noO_out,LINEAR_RATE,0.065,-169.2,348.4,0.08989434079999999,0.08003438839999999,0.0815444712,0.039617466399999995,7.994555999999999e-4,0.07328343,0.03553136,4.44142e-4,0.039084496,0.0205193604,0,0.007283928799999999,0.1347526828,0,-0.0029313372,0.00444142,0.0743493708,0.0119030056,-1.776568e-4,0.0015989111999999998,7.994555999999999e-4,0.0660883296,0.012968946399999999,3.553136e-4,0.0015989111999999998,4.44142e-4,8.88284e-4,0.007639242399999999,0.0027536804,9.771124e-4,0,0.007905727599999999
02A_18-root-noO_out,LINEAR_RATE_DEMI,0.028,-170.1,350.1,0.08989434079999999,0.08003438839999999,0.0815444712,0.039617466399999995,7.994555999999999e-4,0.07328343,0.03553136,4.44142e-4,0.039084496,0.0205193604,0,0.007283928799999999,0.1347526828,0,-0.0029313372,0.00444142,0.0743493708,0.0119030056,-1.776568e-4,0.0015989111999999998,7.994555999999999e-4,0.0660883296,0.012968946399999999,3.553136e-4,0.0015989111999999998,4.44142e-4,8.88284e-4,0.007639242399999999,0.0027536804,9.771124e-4,0,0.007905727599999999
02A_18-root-noO_out,LINEAR_RATE_DEMI_EST,0.004,-171.1,354.1,0.08989434079999999,0.08003438839999999,0.0815444712,0.039617466399999995,7.994555999999999e-4,0.07328343,0.03553136,4.44142e-4,0.039084496,0.0205193604,0,0.007283928799999999,0.1347526828,0,-0.0029313372,0.00444142,0.0743493708,0.0119030056,-1.776568e-4,0.0015989111999999998,7.994555999999999e-4,0.0660883296,0.012968946399999999,3.553136e-4,0.0015989111999999998,4.44142e-4,8.88284e-4,0.007639242399999999,0.0027536804,9.771124e-4,0,0.007905727599999999
02A_18-root-noO_out,LINEAR_RATE_NO_DUPL,0,-179.8,367.6,0.08989434079999999,0.08003438839999999,0.0815444712,0.039617466399999995,7.994555999999999e-4,0.07328343,0.03553136,4.44142e-4,0.039084496,0.0205193604,0,0.007283928799999999,0.1347526828,0,-0.0029313372,0.00444142,0.0743493708,0.0119030056,-1.776568e-4,0.0015989111999999998,7.994555999999999e-4,0.0660883296,0.012968946399999999,3.553136e-4,0.0015989111999999998,4.44142e-4,8.88284e-4,0.007639242399999999,0.0027536804,9.771124e-4,0,0.007905727599999999
02B_18-root-exclude_out,CONST_RATE,0.127,-162,330.1,0.07879851909999999,0.0383657008,0.0786331497,0.0382830161,0,0.0788812038,0.039688655999999996,0,0.0357197904,0.0170330482,0,0.0055398749,0.11178971439999999,0.0096741099,-0.0029766491999999997,0.0014056399,0.0812790601,0.0074416230000000005,-9.095317e-4,0.0018190634,0,0.0812790601,0.0074416230000000005,-9.095317e-4,0.0018190634,0,4.134235e-4,0.0071935689,0.0028112798,8.26847e-4,0,0.0061186678
02B_18-root-exclude_out,CONST_RATE_DEMI,0.127,-162,330.1,0.07879851909999999,0.0383657008,0.0786331497,0.0382830161,0,0.0788812038,0.039688655999999996,0,0.0357197904,0.0170330482,0,0.0055398749,0.11178971439999999,0.0096741099,-0.0029766491999999997,0.0014056399,0.0812790601,0.0074416230000000005,-9.095317e-4,0.0018190634,0,0.0812790601,0.0074416230000000005,-9.095317e-4,0.0018190634,0,4.134235e-4,0.0071935689,0.0028112798,8.26847e-4,0,0.0061186678
02B_18-root-exclude_out,CONST_RATE_DEMI_EST,0.148,-160.9,329.8,0.07879851909999999,0.0383657008,0.0786331497,0.0382830161,0,0.0788812038,0.039688655999999996,0,0.0357197904,0.0170330482,0,0.0055398749,0.11178971439999999,0.0096741099,-0.0029766491999999997,0.0014056399,0.0812790601,0.0074416230000000005,-9.095317e-4,0.0018190634,0,0.0812790601,0.0074416230000000005,-9.095317e-4,0.0018190634,0,4.134235e-4,0.0071935689,0.0028112798,8.26847e-4,0,0.0061186678
02B_18-root-exclude_out,CONST_RATE_NO_DUPL,0.346,-162,328.1,0.07879851909999999,0.0383657008,0.0786331497,0.0382830161,0,0.0788812038,0.039688655999999996,0,0.0357197904,0.0170330482,0,0.0055398749,0.11178971439999999,0.0096741099,-0.0029766491999999997,0.0014056399,0.0812790601,0.0074416230000000005,-9.095317e-4,0.0018190634,0,0.0812790601,0.0074416230000000005,-9.095317e-4,0.0018190634,0,4.134235e-4,0.0071935689,0.0028112798,8.26847e-4,0,0.0061186678
02B_18-root-exclude_out,LINEAR_RATE,0.023,-161.8,333.5,0.07879851909999999,0.0383657008,0.0786331497,0.0382830161,0,0.0788812038,0.039688655999999996,0,0.0357197904,0.0170330482,0,0.0055398749,0.11178971439999999,0.0096741099,-0.0029766491999999997,0.0014056399,0.0812790601,0.0074416230000000005,-9.095317e-4,0.0018190634,0,0.0812790601,0.0074416230000000005,-9.095317e-4,0.0018190634,0,4.134235e-4,0.0071935689,0.0028112798,8.26847e-4,0,0.0061186678
